,GEO.display-label,HC03_VC30,HC03_VC31
629,"Hardin County, Illinois",10.7,0.8
630,"Henderson County, Illinois",12.2,0.5
631,"Henry County, Illinois",10.1,0.1
632,"Iroquois County, Illinois",9.7,0.2
633,"Jackson County, Illinois",8.0,0.5
634,"Jasper County, Illinois",11.6,0.0
635,"Jefferson County, Illinois",10.2,0.8
636,"Jersey County, Illinois",10.2,0.2
637,"Jo Daviess County, Illinois",10.5,1.2
638,"Johnson County, Illinois",7.2,1.1
639,"Kane County, Illinois",9.0,2.6
640,"Kankakee County, Illinois",10.7,2.0
641,"Kendall County, Illinois",7.1,3.2
642,"Knox County, Illinois",8.8,0.9
643,"Lake County, Illinois",9.0,4.1
644,"LaSalle County, Illinois",9.5,0.4
645,"Lawrence County, Illinois",10.1,0.0
646,"Lee County, Illinois",10.5,1.5
647,"Livingston County, Illinois",8.7,0.3
648,"Logan County, Illinois",9.7,0.1
649,"McDonough County, Illinois",9.0,1.5
650,"McHenry County, Illinois",7.9,2.7
651,"McLean County, Illinois",9.3,1.6
652,"Macon County, Illinois",6.9,1.2
653,"Macoupin County, Illinois",9.7,0.3
654,"Madison County, Illinois",7.4,1.5
655,"Marion County, Illinois",9.9,0.6
656,"Marshall County, Illinois",13.8,0.1
657,"Mason County, Illinois",9.4,0.0
658,"Massac County, Illinois",8.0,0.2
659,"Menard County, Illinois",13.6,0.0
660,"Mercer County, Illinois",10.0,0.1
661,"Monroe County, Illinois",12.1,0.7
662,"Montgomery County, Illinois",9.1,0.2
663,"Morgan County, Illinois",11.2,1.1
664,"Moultrie County, Illinois",6.8,0.3
665,"Ogle County, Illinois",9.0,0.4
666,"Peoria County, Illinois",8.6,1.6
667,"Perry County, Illinois",12.1,0.6
668,"Piatt County, Illinois",10.9,0.3
669,"Pike County, Illinois",12.2,0.5
670,"Pope County, Illinois",12.2,0.0
671,"Pulaski County, Illinois",7.7,1.3
672,"Putnam County, Illinois",15.8,0.0
673,"Randolph County, Illinois",10.9,0.3
674,"Richland County, Illinois",8.7,0.8
675,"Rock Island County, Illinois",8.9,1.5
676,"St. Clair County, Illinois",8.7,4.4
677,"Saline County, Illinois",10.2,0.4
678,"Sangamon County, Illinois",9.5,1.6
679,"Schuyler County, Illinois",12.5,0.0
680,"Scott County, Illinois",11.6,0.3
681,"Shelby County, Illinois",8.3,0.2
682,"Stark County, Illinois",13.6,0.1
683,"Stephenson County, Illinois",11.0,0.9
684,"Tazewell County, Illinois",8.3,0.3
685,"Union County, Illinois",12.2,0.0
686,"Vermilion County, Illinois",11.9,0.5
687,"Wabash County, Illinois",9.5,0.3
688,"Warren County, Illinois",8.7,0.2
689,"Washington County, Illinois",9.8,0.8
690,"Wayne County, Illinois",10.3,0.5
691,"White County, Illinois",12.3,0.6
692,"Whiteside County, Illinois",10.3,0.7
693,"Will County, Illinois",7.9,4.4
694,"Williamson County, Illinois",8.2,0.3
695,"Winnebago County, Illinois",9.1,0.9
696,"Woodford County, Illinois",9.2,0.0
697,"Adams County, Indiana",14.7,0.1
698,"Allen County, Indiana",7.9,0.6
699,"Bartholomew County, Indiana",9.4,0.4
700,"Benton County, Indiana",10.9,0.0
701,"Blackford County, Indiana",10.4,0.0
702,"Boone County, Indiana",6.3,0.1
703,"Brown County, Indiana",11.3,0.5
704,"Carroll County, Indiana",8.1,0.6
705,"Cass County, Indiana",9.8,0.6
706,"Clark County, Indiana",9.9,0.8
707,"Clay County, Indiana",8.2,0.1
708,"Clinton County, Indiana",11.1,0.0
709,"Crawford County, Indiana",8.3,1.1
710,"Daviess County, Indiana",18.4,0.1
711,"Dearborn County, Indiana",12.1,0.3
712,"Decatur County, Indiana",8.3,0.6
713,"DeKalb County, Indiana",9.7,0.1
714,"Delaware County, Indiana",10.4,1.9
715,"Dubois County, Indiana",7.1,0.0
716,"Elkhart County, Indiana",11.9,0.4
717,"Fayette County, Indiana",10.5,0.3
718,"Floyd County, Indiana",8.5,0.8
719,"Fountain County, Indiana",10.2,0.1
720,"Franklin County, Indiana",13.0,0.1
721,"Fulton County, Indiana",8.5,0.3
722,"Gibson County, Indiana",9.5,0.0
723,"Grant County, Indiana",8.5,0.1
724,"Greene County, Indiana",11.9,0.3
725,"Hamilton County, Indiana",7.4,0.3
726,"Hancock County, Indiana",7.0,0.4
727,"Harrison County, Indiana",9.0,0.1
728,"Hendricks County, Indiana",6.9,0.1
729,"Henry County, Indiana",10.7,0.1
730,"Howard County, Indiana",8.8,0.2
731,"Huntington County, Indiana",10.6,0.3
732,"Jackson County, Indiana",9.0,0.1
733,"Jasper County, Indiana",9.5,0.3
734,"Jay County, Indiana",12.0,0.4
735,"Jefferson County, Indiana",10.2,0.3
736,"Jennings County, Indiana",11.0,0.6
737,"Johnson County, Indiana",8.7,0.3
738,"Knox County, Indiana",7.9,0.2
739,"Kosciusko County, Indiana",10.6,0.4
740,"LaGrange County, Indiana",20.8,0.8
741,"Lake County, Indiana",8.2,3.4
742,"LaPorte County, Indiana",8.9,0.9
743,"Lawrence County, Indiana",9.3,0.6
744,"Madison County, Indiana",10.6,0.5
745,"Marion County, Indiana",10.2,1.8
746,"Marshall County, Indiana",12.6,0.2
747,"Martin County, Indiana",11.1,0.4
748,"Miami County, Indiana",9.4,0.2
749,"Monroe County, Indiana",9.5,3.3
750,"Montgomery County, Indiana",9.7,0.0
751,"Morgan County, Indiana",10.7,0.0
752,"Newton County, Indiana",12.7,0.8
753,"Noble County, Indiana",12.5,0.1
754,"Ohio County, Indiana",7.9,0.0
755,"Orange County, Indiana",11.0,0.0
756,"Owen County, Indiana",16.4,0.7
757,"Parke County, Indiana",8.6,0.8
758,"Perry County, Indiana",13.6,0.0
759,"Pike County, Indiana",10.4,0.1
760,"Porter County, Indiana",8.5,1.6
761,"Posey County, Indiana",6.9,0.0
762,"Pulaski County, Indiana",11.1,1.1
763,"Putnam County, Indiana",10.7,0.1
764,"Randolph County, Indiana",11.6,0.3
765,"Ripley County, Indiana",10.1,0.2
766,"Rush County, Indiana",10.9,0.6
767,"St. Joseph County, Indiana",8.2,1.3
768,"Scott County, Indiana",13.0,0.1
769,"Shelby County, Indiana",10.3,0.3
770,"Spencer County, Indiana",10.9,0.0
771,"Starke County, Indiana",10.1,0.4
772,"Steuben County, Indiana",9.4,0.1
773,"Sullivan County, Indiana",11.5,0.0
774,"Switzerland County, Indiana",12.0,0.1
775,"Tippecanoe County, Indiana",9.6,3.4
776,"Tipton County, Indiana",7.8,0.1
777,"Union County, Indiana",8.4,0.1
778,"Vanderburgh County, Indiana",9.6,1.3
779,"Vermillion County, Indiana",10.8,0.0
780,"Vigo County, Indiana",8.5,0.7
781,"Wabash County, Indiana",9.3,0.5
782,"Warren County, Indiana",8.6,0.0
783,"Warrick County, Indiana",7.5,0.1
784,"Washington County, Indiana",10.7,0.0
785,"Wayne County, Indiana",11.7,0.8
786,"Wells County, Indiana",7.8,0.1
787,"White County, Indiana",8.1,0.3
788,"Whitley County, Indiana",9.3,0.0
789,"Adair County, Iowa",12.0,0.5
790,"Adams County, Iowa",9.2,0.2
791,"Allamakee County, Iowa",11.1,0.7
792,"Appanoose County, Iowa",10.3,0.3
793,"Audubon County, Iowa",7.7,0.2
794,"Benton County, Iowa",9.7,0.1
795,"Black Hawk County, Iowa",8.7,0.5
796,"Boone County, Iowa",12.8,0.7
797,"Bremer County, Iowa",7.2,0.2
798,"Buchanan County, Iowa",13.1,0.1
799,"Buena Vista County, Iowa",15.6,0.3
800,"Butler County, Iowa",9.7,0.3
801,"Calhoun County, Iowa",11.0,0.0
802,"Carroll County, Iowa",6.4,0.5
803,"Cass County, Iowa",13.2,0.4
804,"Cedar County, Iowa",13.8,0.0
805,"Cerro Gordo County, Iowa",10.0,1.1
806,"Cherokee County, Iowa",8.3,0.2
807,"Chickasaw County, Iowa",8.6,0.9
808,"Clarke County, Iowa",11.0,0.1
809,"Clay County, Iowa",9.6,0.2
810,"Clayton County, Iowa",10.7,0.3
811,"Clinton County, Iowa",8.7,0.9
812,"Crawford County, Iowa",15.3,0.1
813,"Dallas County, Iowa",9.4,0.2
814,"Davis County, Iowa",13.8,1.0
815,"Decatur County, Iowa",12.7,0.0
816,"Delaware County, Iowa",10.3,0.1
817,"Des Moines County, Iowa",11.9,0.6
818,"Dickinson County, Iowa",11.4,0.0
819,"Dubuque County, Iowa",8.4,0.9
820,"Emmet County, Iowa",11.9,0.1
821,"Fayette County, Iowa",10.7,0.4
822,"Floyd County, Iowa",8.4,0.6
823,"Franklin County, Iowa",7.8,0.3
824,"Fremont County, Iowa",10.5,0.0
825,"Greene County, Iowa",10.9,0.0
826,"Grundy County, Iowa",8.1,0.1
827,"Guthrie County, Iowa",12.8,0.2
828,"Hamilton County, Iowa",9.2,0.0
829,"Hancock County, Iowa",12.4,0.1
830,"Hardin County, Iowa",9.4,0.1
831,"Harrison County, Iowa",15.3,0.2
832,"Henry County, Iowa",12.4,0.1
833,"Howard County, Iowa",9.2,0.4
834,"Humboldt County, Iowa",7.0,0.5
835,"Ida County, Iowa",7.5,1.2
836,"Iowa County, Iowa",14.0,0.2
837,"Jackson County, Iowa",10.6,0.8
838,"Jasper County, Iowa",12.3,0.1
839,"Jefferson County, Iowa",11.4,0.8
840,"Johnson County, Iowa",10.4,5.9
841,"Jones County, Iowa",9.5,0.0
842,"Keokuk County, Iowa",14.6,0.0
843,"Kossuth County, Iowa",10.4,0.8
844,"Lee County, Iowa",9.0,0.1
845,"Linn County, Iowa",9.0,1.0
846,"Louisa County, Iowa",18.3,0.0
847,"Lucas County, Iowa",13.0,0.4
848,"Lyon County, Iowa",6.9,0.1
849,"Madison County, Iowa",12.8,0.3
850,"Mahaska County, Iowa",13.0,0.3
851,"Marion County, Iowa",9.9,0.6
852,"Marshall County, Iowa",13.0,0.3
853,"Mills County, Iowa",11.4,0.0
854,"Mitchell County, Iowa",7.5,0.2
855,"Monona County, Iowa",10.7,0.3
856,"Monroe County, Iowa",10.0,0.9
857,"Montgomery County, Iowa",12.2,0.0
858,"Muscatine County, Iowa",10.7,0.5
859,"O'Brien County, Iowa",13.3,0.1
860,"Osceola County, Iowa",7.8,0.0
861,"Page County, Iowa",9.8,0.1
862,"Palo Alto County, Iowa",6.9,2.7
863,"Plymouth County, Iowa",10.5,0.4
864,"Pocahontas County, Iowa",8.7,0.0
865,"Polk County, Iowa",10.4,1.8
866,"Pottawattamie County, Iowa",10.1,0.5
867,"Poweshiek County, Iowa",9.6,0.1
868,"Ringgold County, Iowa",10.1,0.0
869,"Sac County, Iowa",10.5,0.1
870,"Scott County, Iowa",8.3,0.5
871,"Shelby County, Iowa",11.3,0.5
872,"Sioux County, Iowa",9.9,0.6
873,"Story County, Iowa",9.8,5.6
874,"Tama County, Iowa",11.8,0.1
875,"Taylor County, Iowa",13.1,0.2
876,"Union County, Iowa",12.2,1.0
877,"Van Buren County, Iowa",13.3,0.7
878,"Wapello County, Iowa",14.0,1.6
879,"Warren County, Iowa",11.1,0.3
880,"Washington County, Iowa",15.1,0.6
881,"Wayne County, Iowa",16.5,0.1
882,"Webster County, Iowa",9.2,0.3
883,"Winnebago County, Iowa",10.0,0.2
884,"Winneshiek County, Iowa",7.4,0.5
885,"Woodbury County, Iowa",11.3,0.8
886,"Worth County, Iowa",8.3,0.1
887,"Wright County, Iowa",10.0,1.2
888,"Allen County, Kansas",7.1,0.2
889,"Anderson County, Kansas",20.6,0.0
890,"Atchison County, Kansas",11.3,0.0
891,"Barber County, Kansas",10.1,0.0
892,"Barton County, Kansas",12.5,0.7
893,"Bourbon County, Kansas",10.0,0.5
894,"Brown County, Kansas",8.6,0.4
895,"Butler County, Kansas",8.7,0.0
896,"Chase County, Kansas",8.6,0.0
897,"Chautauqua County, Kansas",14.6,0.0
898,"Cherokee County, Kansas",7.3,0.0
899,"Cheyenne County, Kansas",13.8,0.0
900,"Clark County, Kansas",7.6,0.0
901,"Clay County, Kansas",14.5,0.5
902,"Cloud County, Kansas",8.2,0.4
903,"Coffey County, Kansas",17.6,0.3
904,"Comanche County, Kansas",5.8,0.8
905,"Cowley County, Kansas",13.5,0.4
906,"Crawford County, Kansas",7.0,0.1
907,"Decatur County, Kansas",9.4,0.0
908,"Dickinson County, Kansas",10.9,0.0
909,"Doniphan County, Kansas",8.6,0.3
910,"Douglas County, Kansas",11.2,1.6
911,"Edwards County, Kansas",14.3,0.3
912,"Elk County, Kansas",12.2,0.0
913,"Ellis County, Kansas",10.6,0.4
914,"Ellsworth County, Kansas",10.6,0.4
915,"Finney County, Kansas",11.0,0.3
916,"Ford County, Kansas",15.6,0.0
917,"Franklin County, Kansas",12.8,0.3
918,"Geary County, Kansas",10.3,0.0
919,"Gove County, Kansas",9.8,0.0
920,"Graham County, Kansas",10.2,0.0
921,"Grant County, Kansas",20.8,0.0
922,"Gray County, Kansas",7.6,0.3
923,"Greeley County, Kansas",5.5,0.0
924,"Greenwood County, Kansas",11.9,0.1
925,"Hamilton County, Kansas",0.6,0.4
926,"Harper County, Kansas",12.0,0.0
927,"Harvey County, Kansas",8.9,0.2
928,"Haskell County, Kansas",7.7,0.0
929,"Hodgeman County, Kansas",15.7,0.3
930,"Jackson County, Kansas",14.0,0.4
931,"Jefferson County, Kansas",14.9,0.2
932,"Jewell County, Kansas",9.4,0.0
933,"Johnson County, Kansas",7.0,0.4
934,"Kearny County, Kansas",3.5,0.0
935,"Kingman County, Kansas",11.7,0.1
936,"Kiowa County, Kansas",4.8,0.0
937,"Labette County, Kansas",12.2,0.6
938,"Lane County, Kansas",12.2,0.5
939,"Leavenworth County, Kansas",11.1,0.2
940,"Lincoln County, Kansas",11.9,0.0
941,"Linn County, Kansas",12.4,0.4
942,"Logan County, Kansas",5.8,0.0
943,"Lyon County, Kansas",14.2,0.2
944,"McPherson County, Kansas",7.5,0.6
945,"Marion County, Kansas",9.5,0.1
946,"Marshall County, Kansas",7.8,0.1
947,"Meade County, Kansas",8.5,0.0
948,"Miami County, Kansas",11.9,0.5
949,"Mitchell County, Kansas",3.8,0.4
950,"Montgomery County, Kansas",10.8,0.2
951,"Morris County, Kansas",10.1,0.0
952,"Morton County, Kansas",7.6,0.6
953,"Nemaha County, Kansas",8.2,0.3
954,"Neosho County, Kansas",12.3,0.0
955,"Ness County, Kansas",5.4,0.0
956,"Norton County, Kansas",12.0,0.0
957,"Osage County, Kansas",13.2,0.3
958,"Osborne County, Kansas",13.8,0.1
959,"Ottawa County, Kansas",13.2,0.0
960,"Pawnee County, Kansas",10.1,0.0
961,"Phillips County, Kansas",9.6,0.2
962,"Pottawatomie County, Kansas",10.9,0.2
963,"Pratt County, Kansas",8.8,0.1
964,"Rawlins County, Kansas",8.6,0.2
965,"Reno County, Kansas",9.5,0.4
966,"Republic County, Kansas",10.2,0.3
967,"Rice County, Kansas",13.1,0.0
968,"Riley County, Kansas",8.3,0.1
969,"Rooks County, Kansas",12.9,0.0
970,"Rush County, Kansas",12.7,0.9
971,"Russell County, Kansas",11.6,1.3
972,"Saline County, Kansas",10.4,0.2
973,"Scott County, Kansas",14.0,0.0
974,"Sedgwick County, Kansas",9.4,0.7
975,"Seward County, Kansas",12.5,0.4
976,"Shawnee County, Kansas",9.8,1.0
977,"Sheridan County, Kansas",6.7,0.0
978,"Sherman County, Kansas",13.4,0.5
979,"Smith County, Kansas",7.4,0.0
980,"Stafford County, Kansas",8.6,0.2
981,"Stanton County, Kansas",14.4,0.0
982,"Stevens County, Kansas",13.2,0.0
983,"Sumner County, Kansas",8.1,0.4
984,"Thomas County, Kansas",7.5,0.0
985,"Trego County, Kansas",12.5,0.0
986,"Wabaunsee County, Kansas",9.8,0.1
987,"Wallace County, Kansas",17.0,0.0
988,"Washington County, Kansas",13.6,0.4
989,"Wichita County, Kansas",10.6,0.0
990,"Wilson County, Kansas",11.6,0.1
991,"Woodson County, Kansas",14.4,0.9
992,"Wyandotte County, Kansas",11.4,1.4
993,"Adair County, Kentucky",14.0,0.5
994,"Allen County, Kentucky",12.9,0.3
995,"Anderson County, Kentucky",14.6,0.2
996,"Ballard County, Kentucky",11.0,0.1
997,"Barren County, Kentucky",10.8,0.2
998,"Bath County, Kentucky",11.2,0.0
999,"Bell County, Kentucky",8.3,0.5
1000,"Boone County, Kentucky",8.4,1.2
1001,"Bourbon County, Kentucky",12.4,0.0
1002,"Boyd County, Kentucky",10.1,0.3
1003,"Boyle County, Kentucky",12.5,0.2
1004,"Bracken County, Kentucky",10.6,0.0
1005,"Breathitt County, Kentucky",13.5,1.0
1006,"Breckinridge County, Kentucky",11.7,0.0
1007,"Bullitt County, Kentucky",10.8,0.2
1008,"Butler County, Kentucky",19.9,0.0
1009,"Caldwell County, Kentucky",11.3,0.1
1010,"Calloway County, Kentucky",7.7,0.0
1011,"Campbell County, Kentucky",9.6,2.2
1012,"Carlisle County, Kentucky",9.2,0.8
1013,"Carroll County, Kentucky",14.1,0.1
1014,"Carter County, Kentucky",16.7,0.5
1015,"Casey County, Kentucky",11.0,0.6
1016,"Christian County, Kentucky",12.7,0.0
1017,"Clark County, Kentucky",13.0,0.4
1018,"Clay County, Kentucky",8.2,0.7
1019,"Clinton County, Kentucky",9.2,0.0
1020,"Crittenden County, Kentucky",16.6,0.2
1021,"Cumberland County, Kentucky",13.0,0.0
1022,"Daviess County, Kentucky",9.3,0.3
1023,"Edmonson County, Kentucky",12.9,0.0
1024,"Elliott County, Kentucky",12.9,1.0
1025,"Estill County, Kentucky",16.9,1.1
1026,"Fayette County, Kentucky",10.5,1.4
1027,"Fleming County, Kentucky",10.8,0.2
1028,"Floyd County, Kentucky",10.1,0.7
1029,"Franklin County, Kentucky",12.9,1.0
1030,"Fulton County, Kentucky",9.5,0.4
1031,"Gallatin County, Kentucky",17.9,1.5
1032,"Garrard County, Kentucky",13.5,0.8
1033,"Grant County, Kentucky",14.0,1.0
1034,"Graves County, Kentucky",12.7,0.5
1035,"Grayson County, Kentucky",13.8,0.4
1036,"Green County, Kentucky",14.6,0.5
1037,"Greenup County, Kentucky",8.6,0.6
1038,"Hancock County, Kentucky",9.3,0.2
1039,"Hardin County, Kentucky",9.3,0.1
1040,"Harlan County, Kentucky",13.0,0.5
1041,"Harrison County, Kentucky",11.6,0.8
1042,"Hart County, Kentucky",13.9,0.5
1043,"Henderson County, Kentucky",9.6,0.4
1044,"Henry County, Kentucky",15.0,0.2
1045,"Hickman County, Kentucky",10.0,0.0
1046,"Hopkins County, Kentucky",11.5,0.0
1047,"Jackson County, Kentucky",22.4,0.6
1048,"Jefferson County, Kentucky",9.5,3.4
1049,"Jessamine County, Kentucky",12.2,0.0
1050,"Johnson County, Kentucky",8.4,0.2
1051,"Kenton County, Kentucky",9.5,2.5
1052,"Knott County, Kentucky",9.2,0.2
1053,"Knox County, Kentucky",9.7,0.0
1054,"Larue County, Kentucky",12.7,0.0
1055,"Laurel County, Kentucky",11.3,0.0
1056,"Lawrence County, Kentucky",12.2,0.0
1057,"Lee County, Kentucky",11.7,0.0
1058,"Leslie County, Kentucky",16.2,0.0
1059,"Letcher County, Kentucky",12.9,0.2
1060,"Lewis County, Kentucky",14.5,0.5
1061,"Lincoln County, Kentucky",14.5,0.1
1062,"Livingston County, Kentucky",9.2,0.0
1063,"Logan County, Kentucky",12.3,0.9
1064,"Lyon County, Kentucky",13.7,0.0
1065,"McCracken County, Kentucky",10.8,0.9
1066,"McCreary County, Kentucky",14.1,1.3
1067,"McLean County, Kentucky",13.1,0.2
1068,"Madison County, Kentucky",13.9,0.1
1069,"Magoffin County, Kentucky",14.4,1.3
1070,"Marion County, Kentucky",12.0,0.4
1071,"Marshall County, Kentucky",9.0,0.2
1072,"Martin County, Kentucky",11.0,1.4
1073,"Mason County, Kentucky",12.4,0.4
1074,"Meade County, Kentucky",11.5,0.6
1075,"Menifee County, Kentucky",12.1,0.0
1076,"Mercer County, Kentucky",14.1,0.0
1077,"Metcalfe County, Kentucky",14.4,0.0
1078,"Monroe County, Kentucky",10.1,0.2
1079,"Montgomery County, Kentucky",11.1,0.2
1080,"Morgan County, Kentucky",10.0,0.0
1081,"Muhlenberg County, Kentucky",11.6,0.3
1082,"Nelson County, Kentucky",12.0,0.4
1083,"Nicholas County, Kentucky",15.3,0.0
1084,"Ohio County, Kentucky",6.9,0.4
1085,"Oldham County, Kentucky",8.9,0.6
1086,"Owen County, Kentucky",16.7,0.1
1087,"Owsley County, Kentucky",8.5,0.0
1088,"Pendleton County, Kentucky",14.2,0.7
1089,"Perry County, Kentucky",12.2,0.3
1090,"Pike County, Kentucky",13.3,0.2
1091,"Powell County, Kentucky",13.7,0.9
1092,"Pulaski County, Kentucky",11.6,0.5
1093,"Robertson County, Kentucky",4.4,0.7
1094,"Rockcastle County, Kentucky",9.9,0.0
1095,"Rowan County, Kentucky",14.2,0.0
1096,"Russell County, Kentucky",9.3,0.1
1097,"Scott County, Kentucky",11.4,0.0
1098,"Shelby County, Kentucky",16.5,0.2
1099,"Simpson County, Kentucky",10.1,0.0
1100,"Spencer County, Kentucky",8.7,0.2
1101,"Taylor County, Kentucky",11.2,0.3
1102,"Todd County, Kentucky",13.8,0.3
1103,"Trigg County, Kentucky",11.9,0.0
1104,"Trimble County, Kentucky",10.6,1.4
1105,"Union County, Kentucky",8.4,1.4
1106,"Warren County, Kentucky",11.4,0.2
1107,"Washington County, Kentucky",12.6,0.6
1108,"Wayne County, Kentucky",10.3,0.3
1109,"Webster County, Kentucky",12.5,0.1
1110,"Whitley County, Kentucky",12.2,0.8
1111,"Wolfe County, Kentucky",2.9,6.2
1112,"Woodford County, Kentucky",14.1,0.0
1113,"Acadia Parish, Louisiana",11.2,0.2
1114,"Allen Parish, Louisiana",12.9,0.1
1115,"Ascension Parish, Louisiana",11.7,0.1
1116,"Assumption Parish, Louisiana",14.7,1.1
1117,"Avoyelles Parish, Louisiana",18.9,0.2
1118,"Beauregard Parish, Louisiana",13.4,0.4
1119,"Bienville Parish, Louisiana",12.6,0.4
1120,"Bossier Parish, Louisiana",7.1,0.3
1121,"Caddo Parish, Louisiana",9.3,2.4
1122,"Calcasieu Parish, Louisiana",11.6,0.3
1123,"Caldwell Parish, Louisiana",10.8,0.0
1124,"Cameron Parish, Louisiana",19.3,0.8
1125,"Catahoula Parish, Louisiana",23.1,0.0
1126,"Claiborne Parish, Louisiana",8.9,0.1
1127,"Concordia Parish, Louisiana",11.5,0.2
1128,"De Soto Parish, Louisiana",12.1,0.7
1129,"East Baton Rouge Parish, Louisiana",10.8,1.7
1130,"East Carroll Parish, Louisiana",15.7,0.0
1131,"East Feliciana Parish, Louisiana",9.3,0.3
1132,"Evangeline Parish, Louisiana",13.7,0.1
1133,"Franklin Parish, Louisiana",17.9,0.0
1134,"Grant Parish, Louisiana",8.9,0.5
1135,"Iberia Parish, Louisiana",11.7,0.2
1136,"Iberville Parish, Louisiana",11.9,0.3
1137,"Jackson Parish, Louisiana",10.7,0.0
1138,"Jefferson Parish, Louisiana",12.5,1.5
1139,"Jefferson Davis Parish, Louisiana",10.6,0.5
1140,"Lafayette Parish, Louisiana",10.0,1.0
1141,"Lafourche Parish, Louisiana",12.8,0.5
1142,"La Salle Parish, Louisiana",9.0,0.0
1143,"Lincoln Parish, Louisiana",13.1,0.1
1144,"Livingston Parish, Louisiana",9.9,0.3
1145,"Madison Parish, Louisiana",9.3,0.1
1146,"Morehouse Parish, Louisiana",9.0,0.4
1147,"Natchitoches Parish, Louisiana",13.7,0.4
1148,"Orleans Parish, Louisiana",12.6,7.0
1149,"Ouachita Parish, Louisiana",8.5,1.4
1150,"Plaquemines Parish, Louisiana",11.1,0.6
1151,"Pointe Coupee Parish, Louisiana",11.6,0.1
1152,"Rapides Parish, Louisiana",10.8,1.0
1153,"Red River Parish, Louisiana",11.8,1.0
1154,"Richland Parish, Louisiana",12.7,0.0
1155,"Sabine Parish, Louisiana",13.6,0.3
1156,"St. Bernard Parish, Louisiana",10.9,1.9
1157,"St. Charles Parish, Louisiana",8.6,0.5
1158,"St. Helena Parish, Louisiana",8.8,0.0
1159,"St. James Parish, Louisiana",11.0,1.4
1160,"St. John the Baptist Parish, Louisiana",9.5,0.5
1161,"St. Landry Parish, Louisiana",9.7,0.0
1162,"St. Martin Parish, Louisiana",8.3,0.2
1163,"St. Mary Parish, Louisiana",14.3,0.3
1164,"St. Tammany Parish, Louisiana",10.5,0.1
1165,"Tangipahoa Parish, Louisiana",13.1,0.5
1166,"Tensas Parish, Louisiana",10.5,0.0
1167,"Terrebonne Parish, Louisiana",9.4,0.9
1168,"Union Parish, Louisiana",8.6,0.4
1169,"Vermilion Parish, Louisiana",9.1,0.4
1170,"Vernon Parish, Louisiana",13.3,0.2
1171,"Washington Parish, Louisiana",14.2,0.6
1172,"Webster Parish, Louisiana",7.3,0.1
1173,"West Baton Rouge Parish, Louisiana",11.4,0.1
1174,"West Carroll Parish, Louisiana",6.5,0.7
1175,"West Feliciana Parish, Louisiana",7.3,0.6
1176,"Winn Parish, Louisiana",12.5,0.2
1177,"Androscoggin County, Maine",11.8,0.3
1178,"Aroostook County, Maine",9.7,0.1
1179,"Cumberland County, Maine",8.6,1.3
1180,"Franklin County, Maine",10.6,0.0
1181,"Hancock County, Maine",12.5,0.6
1182,"Kennebec County, Maine",9.2,0.1
1183,"Knox County, Maine",10.6,0.5
1184,"Lincoln County, Maine",9.4,0.3
1185,"Oxford County, Maine",10.5,0.3
1186,"Penobscot County, Maine",10.1,1.0
1187,"Piscataquis County, Maine",10.4,0.1
1188,"Sagadahoc County, Maine",9.4,0.4
1189,"Somerset County, Maine",9.3,0.1
1190,"Waldo County, Maine",10.9,0.3
1191,"Washington County, Maine",13.5,0.4
1192,"York County, Maine",10.9,0.6
1193,"Allegany County, Maryland",10.7,0.7
1194,"Anne Arundel County, Maryland",9.4,3.1
1195,"Baltimore County, Maryland",10.0,4.1
1196,"Calvert County, Maryland",12.2,2.7
1197,"Caroline County, Maryland",9.7,0.5
1198,"Carroll County, Maryland",9.0,0.7
1199,"Cecil County, Maryland",11.5,1.1
1200,"Charles County, Maryland",11.7,6.5
1201,"Dorchester County, Maryland",10.5,1.1
1202,"Frederick County, Maryland",11.5,2.2
1203,"Garrett County, Maryland",13.6,0.2
1204,"Harford County, Maryland",9.4,1.6
1205,"Howard County, Maryland",8.1,3.8
1206,"Kent County, Maryland",10.6,2.6
1207,"Montgomery County, Maryland",10.3,15.0
1208,"Prince George's County, Maryland",12.6,17.4
1209,"Queen Anne's County, Maryland",10.9,1.1
1210,"St. Mary's County, Maryland",9.6,2.4
1211,"Somerset County, Maryland",7.3,1.5
1212,"Talbot County, Maryland",8.2,0.3
1213,"Washington County, Maryland",12.1,1.5
1214,"Wicomico County, Maryland",12.8,0.8
1215,"Worcester County, Maryland",7.6,1.8
1216,"Baltimore city, Maryland",11.0,18.5
1217,"Barnstable County, Massachusetts",7.1,1.2
1218,"Berkshire County, Massachusetts",9.5,0.9
1219,"Bristol County, Massachusetts",9.5,2.5
1220,"Dukes County, Massachusetts",6.7,4.2
1221,"Essex County, Massachusetts",9.1,4.8
1222,"Franklin County, Massachusetts",8.6,1.4
1223,"Hampden County, Massachusetts",8.6,2.0
1224,"Hampshire County, Massachusetts",7.4,2.1
1225,"Middlesex County, Massachusetts",8.0,10.8
1226,"Nantucket County, Massachusetts",17.7,0.8
1227,"Norfolk County, Massachusetts",6.8,13.1
1228,"Plymouth County, Massachusetts",7.8,5.0
1229,"Suffolk County, Massachusetts",8.1,31.7
1230,"Worcester County, Massachusetts",8.9,1.6
1231,"Alcona County, Michigan",8.6,0.2
1232,"Alger County, Michigan",10.2,1.5
1233,"Allegan County, Michigan",8.4,0.2
1234,"Alpena County, Michigan",10.1,0.3
1235,"Antrim County, Michigan",10.4,0.7
